symbol,file,n_rows,iso_mean,mtad_mean,tranad_mean,graph_score,composite_score,iso_mean_n,mtad_mean_n,tranad_mean_n,graph_score_n
JIOFIN,JIOFIN_ohlcv.csv,540,0.19638585727396768,0.21153315689925922,0.35680703605174074,0.7418050504418305,0.5400041753337941,0.6781594417170809,0.45739494956900834,0.6219856209656847,0.7418050504418305
HINDALCO_NS,HINDALCO_ohlcv.csv,1936,0.20091184516573057,0.21985058521056386,0.490106794276937,,0.5348458885582348,0.7530942660525308,0.5137368752200393,0.9162265283552201,0.0
ULTRACEMCO,ULTRACEMCO_ohlcv.csv,1936,0.1833686221141237,0.23218863076152096,0.4262702094586963,0.6144008829447525,0.5347678809821058,0.4626387082631936,0.5973143007286241,0.7753160354056705,0.6144008829447525
HINDALCO,HINDALCO_ohlcv.csv,1936,0.20091184516573057,0.21665622823912,0.4787626101059707,,0.5238623330461832,0.7530942660525308,0.492098429266339,0.891185799936043,0.0
EICHERMOT_NS,EICHERMOT_ohlcv.csv,1936,0.2043588990798836,0.22275611910924847,0.3925040244731619,,0.49864310869588124,0.8101656470878151,0.5334188452676489,0.7007818198788747,0.0
HCLTECH,HCLTECH_ohlcv.csv,1936,0.19485730536447368,0.221814074414781,0.32536870038032895,0.48216438502399694,0.49170774948153123,0.652851868748534,0.5270374723060695,0.5525898130667286,0.48216438502399694
SHRIRAMFIN,SHRIRAMFIN_ohlcv.csv,1936,0.1876354121500065,0.2623370824396737,0.22007706643612734,0.6852433309449851,0.49074452417817194,0.533282105784655,0.8015387027154133,0.3201729930757328,0.6852433309449851
MAXHEALTH_NS,MAXHEALTH_ohlcv.csv,1288,0.21582470273447002,0.23604994315338507,0.2550940976988404,,0.4888419300253724,1.0,0.6234706759392314,0.39746827995406164,0.0
RELIANCE,RELIANCE_ohlcv.csv,1936,0.1748742950898685,0.2762664230116366,0.26605971400290856,0.6852433309449851,0.482801463814861,0.32200180895357094,0.8958954968469305,0.42167337180384284,0.6852433309449851
GRASIM,GRASIM_ohlcv.csv,1936,0.18150727163759667,0.2809889738519428,0.19691340437733537,0.6439837413704408,0.47249350650326133,0.4318211333335067,0.9278858667508233,0.2690423906396122,0.6439837413704408
